symbol,interval,open_time,open,high,low,close,volume,turnover
BTCUSD,240,1636948800,65780.5,65898,65533,65624.5,225474820,3427.7992765699883
BTCUSD,240,1636963200,65624.5,66400,65333.5,65808.5,386103485,5860.4744103295725
BTCUSD,240,1636977600,65808.5,65988,64310,64350.5,650647617,10000.107178609991
BTCUSD,240,1636992000,64350.5,64450,63691.5,64242.5,532394099,8302.456693450133
BTCUSD,240,1637006400,64242.5,64242.5,63200,63608.5,405484215,6358.233398289981
BTCUSD,240,1637020800,63608.5,63608.5,60314,60909.5,1612230772,26078.465718662454
BTCUSD,240,1637035200,60909.5,61520,60314,60809.5,786890477,12925.1540117801
BTCUSD,240,1637049600,60809.5,61269.5,58391,60605,1415314064,23654.250392698126
BTCUSD,240,1637064000,60605,61405.5,60062,60705,530571282,8737.487161510513
BTCUSD,240,1637078400,60705,60930,59850.5,60273,418484838,6928.1163535498135
BTCUSD,240,1637092800,60273,61151.5,59119,60124.5,569573387,9470.707719740021
BTCUSD,240,1637107200,60124.5,60498.5,58593,59061,725783544,12188.85389606022
BTCUSD,240,1637121600,59061,60188,58637,59774,408168764,6865.219523789806
BTCUSD,240,1637136000,59774,60817.5,58403,60782.5,637157506,10676.536766849576
BTCUSD,240,1637150400,60782.5,60827,59408.5,59685,401984420,6691.734642040889
BTCUSD,240,1637164800,59685,60694.5,59461.5,60219.5,371082101,6165.385773740555
BTCUSD,240,1637179200,60219.5,60575,59682,60370,237148535,3944.409419829973
BTCUSD,240,1637193600,60370,61008.5,59916,59916.5,364422584,6021.97878190035
BTCUSD,240,1637208000,59916.5,60102.5,59560,59820,332867674,5565.411167050069
BTCUSD,240,1637222400,59820,59987.5,59017,59247,435110735,7314.212415780014
BTCUSD,240,1637236800,59247,59970,57614,58114.5,1172221547,19930.192867750375
BTCUSD,240,1637251200,58114.5,58524.5,56500,57962,1332526711,23153.775587539643
BTCUSD,240,1637265600,57962,58464.5,56474.5,56926,678220934,11839.154630870595
BTCUSD,240,1637280000,56926,57500,55650,55933.5,698203032,12346.287916909585
BTCUSD,240,1637294400,55933.5,56500,55877,56030.5,261406534,4650.646254990058
BTCUSD,240,1637308800,56030.5,57465.5,56030.5,57034.5,406634651,7142.0620918898485
BTCUSD,240,1637323200,57034.5,58159.5,56758,57900,393751748,6841.470328709912
BTCUSD,240,1637337600,57900,58333,57721.5,58095.5,270056365,4653.593986080048
BTCUSD,240,1637352000,58095.5,58179,57558.5,58114.5,198059144,3421.41851364997
BTCUSD,240,1637366400,58114.5,58980,58035,58575,322457131,5505.19494477003
BTCUSD,240,1637380800,58575,58875.5,58323.5,58432,194648915,3323.695857340003
BTCUSD,240,1637395200,58432,58783.5,58385,58660.5,139681135,2385.659424289948
BTCUSD,240,1637409600,58660.5,58865,57580.5,57675,319472420,5487.709714629987
BTCUSD,240,1637424000,57675,59680,57439.5,59491,433929670,7392.404914250199
BTCUSD,240,1637438400,59491,59912,59394,59723,205614516,3449.065523200035
BTCUSD,240,1637452800,59723,59779.5,58631,58742.5,253927949,4291.874001829999
BTCUSD,240,1637467200,58742.5,59288,58633,59035.5,199331036,3381.344808209988
BTCUSD,240,1637481600,59035.5,59387.5,58429.5,58762,290343956,4929.398365440351
BTCUSD,240,1637496000,58762,59300.5,58711,59265.5,254057550,4303.655587839752
BTCUSD,240,1637510400,59265.5,60096.5,59196,59359,358904237,6025.242529170281
BTCUSD,240,1637524800,59359,59719,58372,58660,279950116,4734.579738959932
BTCUSD,240,1637539200,58660,58753,57016,57445.5,650418816,11241.012207869813
BTCUSD,240,1637553600,57445.5,57800,56865.5,57333.5,394074341,6872.481520640425
BTCUSD,240,1637568000,57333.5,57862,57025,57208.5,253636220,4418.248870469854
BTCUSD,240,1637582400,57208.5,59545,56574.5,58232,881350100,15168.123189179438
BTCUSD,240,1637596800,58232,58260,55825,55985.5,721540254,12692.84209526068
BTCUSD,240,1637611200,55985.5,56705,55650,56283,457792823,8152.068929500529
BTCUSD,240,1637625600,56283,57246.5,56020,56969,327150853,5769.23952321016
BTCUSD,240,1637640000,56969,57036,55887,56075.5,254008193,4502.470310879752
BTCUSD,240,1637654400,56075.5,57740,55200,56137,1036374461,18341.160759472208
BTCUSD,240,1637668800,56137,57800,56137,56897.5,497685291,8734.159267640855
BTCUSD,240,1637683200,56897.5,57889.5,56897.5,57814,365275507,6360.028397690175
BTCUSD,240,1637697600,57814,57887,57426,57582,180096801,3122.955168910205
BTCUSD,240,1637712000,57582,57785,56169.5,56403,356667020,6264.40235907014
BTCUSD,240,1637726400,56403,56791,56273,56550,203682646,3601.0880157297443
BTCUSD,240,1637740800,56550,57450,56323.5,56677,268120020,4721.553230370417
BTCUSD,240,1637755200,56677,57174.5,55925,56762.5,382598865,6785.206857439935
BTCUSD,240,1637769600,56762.5,57124,56543,56889,187429347,3301.187190049999
BTCUSD,240,1637784000,56889,57490,56789.5,57214,269737864,4713.328572489772
BTCUSD,240,1637798400,57214,58353.5,57190.5,57800.5,346313981,5985.329582140033
BTCUSD,240,1637812800,57800.5,57832.5,57071.5,57675,219459418,3823.0657668997646
BTCUSD,240,1637827200,57675,58547,57388,58074.5,321767729,5551.719841338992
BTCUSD,240,1637841600,58074.5,58809,58000,58529,145116997,2481.7102860201235
