,symbol,interval,open_time,open,high,low,close,volume,turnover
2021-01-01 00:00:00,BTCUSD,240,1609430400,28798.5,29023.5,28328,28908.5,446452745,15556.698770630255
2021-01-01 04:00:00,BTCUSD,240,1609444800,28908.5,29197,28802.5,28955,371504190,12799.134199870221
2021-01-01 08:00:00,BTCUSD,240,1609459200,28955,29541,28740,29345.5,644454525,22007.181846280917
2021-01-01 12:00:00,BTCUSD,240,1609473600,29345.5,29443,28903,29158,334475116,11451.815722310017
2021-01-01 16:00:00,BTCUSD,240,1609488000,29158,29511,28955,29412,458684000,15665.067320299882
2021-01-01 20:00:00,BTCUSD,240,1609502400,29412,29724,29118.5,29279,592133527,20116.258768700736
2021-01-02 00:00:00,BTCUSD,240,1609516800,29279,29429,28715.5,29081,571760065,19630.899583890343
2021-01-02 04:00:00,BTCUSD,240,1609531200,29081,29399,28944,29394.5,311509015,10644.928732769857
2021-01-02 08:00:00,BTCUSD,240,1609545600,29394.5,29549,29051,29423.5,358666223,12227.772999590294
2021-01-02 12:00:00,BTCUSD,240,1609560000,29423.5,29913.5,29306,29850,490272060,16523.613928140127
2021-01-02 16:00:00,BTCUSD,240,1609574400,29850,29965,29556,29840,544003540,18250.916952179487
2021-01-02 20:00:00,BTCUSD,240,1609588800,29840,31950.5,29833.5,31817,1867939555,60348.39301038279
2021-01-03 00:00:00,BTCUSD,240,1609603200,31817,33433,31816.5,33134,1836805559,56113.962655218515
2021-01-03 04:00:00,BTCUSD,240,1609617600,33134,33156,30520,32214.5,2514118810,79034.83608941303
2021-01-03 08:00:00,BTCUSD,240,1609632000,32214.5,32963.5,32013,32675.5,698740390,21433.53851103071
2021-01-03 12:00:00,BTCUSD,240,1609646400,32675.5,34861,32538.5,34525,1524954588,44912.23500066943
2021-01-03 16:00:00,BTCUSD,240,1609660800,34525,34715,33514.5,34437.5,1569285994,45982.05202437155
2021-01-03 20:00:00,BTCUSD,240,1609675200,34437.5,34598,32809.5,33570,1510191768,44700.02503569834
2021-01-04 00:00:00,BTCUSD,240,1609689600,33570,33829,32370.5,32805,1730581205,52481.36076324058
2021-01-04 04:00:00,BTCUSD,240,1609704000,32805,33907,32749.5,33092,921538914,27582.389762021066
2021-01-04 08:00:00,BTCUSD,240,1609718400,33092,33637.5,32475,33602,729941255,22058.115096040307
2021-01-04 12:00:00,BTCUSD,240,1609732800,33602,33662,31837.5,32224,1114010623,34089.92142771986
2021-01-04 16:00:00,BTCUSD,240,1609747200,32224,32645,27744,30750.5,3700754528,122538.13239473573
2021-01-04 20:00:00,BTCUSD,240,1609761600,30750.5,32145.5,30469.5,31715.5,1356611490,43299.923142009415
2021-01-05 00:00:00,BTCUSD,240,1609776000,31715.5,31901.5,30650,31710.5,1019635606,32655.29090436972
2021-01-05 04:00:00,BTCUSD,240,1609790400,31710.5,32080,30919.5,32050.5,650078930,20654.406248029947
2021-01-05 08:00:00,BTCUSD,240,1609804800,32050.5,32897.5,31177.5,31221.5,1182969779,36622.65882344153
2021-01-05 12:00:00,BTCUSD,240,1609819200,31221.5,31585,29930,30846,1520424694,49261.52440979073
2021-01-05 16:00:00,BTCUSD,240,1609833600,30846,31835.5,30845.5,31833,679274581,21605.897057639588
2021-01-05 20:00:00,BTCUSD,240,1609848000,31833,32462,31152.5,32158,940251740,29524.893221309052
2021-01-06 00:00:00,BTCUSD,240,1609862400,32158,34320,31842.5,33822,1374446836,41476.320055751756
2021-01-06 04:00:00,BTCUSD,240,1609876800,33822,34562.5,33476,34088,1029232081,30252.79678272054
2021-01-06 08:00:00,BTCUSD,240,1609891200,34088,34260,33381,34224,724911413,21412.776105700363
2021-01-06 12:00:00,BTCUSD,240,1609905600,34224,35969,34210,34834.5,1513353387,43044.88866898855
2021-01-06 16:00:00,BTCUSD,240,1609920000,34834.5,35431,33659.5,35086.5,1257841960,36414.55342543929
2021-01-06 20:00:00,BTCUSD,240,1609934400,35086.5,35257,34191.5,34708,922419373,26586.930640059334
2021-01-07 00:00:00,BTCUSD,240,1609948800,34708,35860.5,34478,35000.5,1152401271,32742.653322000526
2021-01-07 04:00:00,BTCUSD,240,1609963200,35000.5,37052.5,34358.5,36886.5,2127385038,59401.7843691199
2021-01-07 08:00:00,BTCUSD,240,1609977600,36886.5,37815,36566.5,37589,1130492861,30423.7868840706
2021-01-07 12:00:00,BTCUSD,240,1609992000,37589,37871.5,36798,36950,826406071,22130.33716031979
2021-01-07 16:00:00,BTCUSD,240,1610006400,36950,38080.5,36388,37990,883394131,23735.574123909784
2021-01-07 20:00:00,BTCUSD,240,1610020800,37990,39125.5,37609,39125,1509751238,39361.64196012847
2021-01-08 00:00:00,BTCUSD,240,1610035200,39125,40544,36555,39123,4487624171,115421.81037368657
2021-01-08 04:00:00,BTCUSD,240,1610049600,39123,40037.5,38400,39500,1879677965,47812.34331629887
2021-01-08 08:00:00,BTCUSD,240,1610064000,39500,39788,36500,38385.5,2044669483,53771.97116779924
2021-01-08 12:00:00,BTCUSD,240,1610078400,38385.5,39174.5,37590,38950.5,1158471298,30086.47142474037
2021-01-08 16:00:00,BTCUSD,240,1610092800,38950.5,41686,38258,41449,1924141908,47870.493312737715
2021-01-08 20:00:00,BTCUSD,240,1610107200,41449,42097,39800,40922,2115405907,51483.59298613965
2021-01-09 00:00:00,BTCUSD,240,1610121600,40922,41729.5,39828.5,40443.5,1560672951,38231.121782970935
2021-01-09 04:00:00,BTCUSD,240,1610136000,40443.5,40949,38666,40614.5,2049116217,51381.97719369954
2021-01-09 08:00:00,BTCUSD,240,1610150400,40614.5,41013,39480.5,40191,1190577354,29591.77828236015
2021-01-09 12:00:00,BTCUSD,240,1610164800,40191,40476,38700,39599.5,895866149,22697.09662036062
2021-01-09 16:00:00,BTCUSD,240,1610179200,39599.5,41333.5,39259.5,40631,1032880324,25480.029824889596
2021-01-09 20:00:00,BTCUSD,240,1610193600,40631,41533,40277,40660.5,1224101989,29928.356263619196
2021-01-10 00:00:00,BTCUSD,240,1610208000,40660.5,41032.5,40005,40799.5,668121683,16470.377009559965
