,symbol,interval,open,high,low,close,volume,macd,macdsignal,ema200,GT_ema200,signal_over_under,cross,trade_status,take_profit,stop_loss,win,loss
2021-01-01 17:30:00,BTCUSD,30,29284.5,29405.5,29269.0,29289.0,92768789,73.82899741958681,87.25996372213997,27811.40464003698,Bull,1,0.0,,0.0,0.0,0.0,0.0
2021-01-01 18:00:00,BTCUSD,30,29289.0,29446.5,29264.0,29333.0,60958571,79.34806984924944,85.67758494756187,27826.54489237492,Bull,1,0.0,,0.0,0.0,0.0,0.0
2021-01-01 18:30:00,BTCUSD,30,29333.0,29408.0,29321.5,29323.0,30275122,81.97015713916335,84.93609938588216,27841.434992948303,Bull,1,0.0,,0.0,0.0,0.0,0.0
2021-01-01 19:00:00,BTCUSD,30,29323.0,29470.0,29323.0,29467.5,59587128,94.617431715149,86.87236585173552,27857.61474426225,Bull,0,-1.0,,0.0,0.0,0.0,0.0
2021-01-01 19:30:00,BTCUSD,30,29467.5,29511.0,29349.5,29412.0,48439961,99.02065331496487,89.3020233443814,27873.08126421984,Bull,0,0.0,,0.0,0.0,0.0,0.0
2021-01-01 20:00:00,BTCUSD,30,29412.0,29550.0,29297.5,29550.0,54972127,112.35057732262794,93.9117341400307,27889.767022784818,Bull,0,0.0,,0.0,0.0,0.0,0.0
2021-01-01 20:30:00,BTCUSD,30,29550.0,29724.0,29230.0,29321.5,200662013,103.28598129076636,95.78658357017784,27904.01312206059,Bull,0,0.0,,0.0,0.0,0.0,0.0
2021-01-01 21:00:00,BTCUSD,30,29321.5,29495.0,29307.5,29457.0,60276011,105.8161584020927,97.79249853656081,27919.46572781123,Bull,0,0.0,,0.0,0.0,0.0,0.0
2021-01-01 21:30:00,BTCUSD,30,29457.0,29544.5,29450.0,29541.0,28751528,113.29346345054364,100.89269151935738,27935.600397186245,Bull,0,0.0,,0.0,0.0,0.0,0.0
2021-01-01 22:00:00,BTCUSD,30,29541.0,29616.5,29431.0,29529.5,57587708,116.9432783637094,104.10280888822778,27951.46009472668,Bull,0,0.0,,0.0,0.0,0.0,0.0
