,id,symbol,period,interval,start_at,open_time,volume,open,high,low,close,turnover,test
2021-10-01,13318501,BTCUSDT,M,M,1633046400,1633046400,1417084.085,43757.5,67210.0,43273,61338.0,83781133511.537,2021-10-01 00:00:00
2021-11-01,16212871,BTCUSDT,M,M,1635724800,1635724800,901423.217,61338.0,69138.5,53563,54320.5,55170562290.899,2021-11-01 00:00:00
