,id,symbol,period,interval,start_at,open_time,volume,open,high,low,close,turnover
2021-10-01 00:00:00,13318601,BTCUSDT,720,720,1633046400,1633046400,47495.393,43757.5,47949.5,43273.0,47486.5,2255389979.6945
2021-10-01 12:00:00,13353514,BTCUSDT,720,720,1633089600,1633089600,31282.228,47486.5,48440.0,46788.0,48092.5,1504440550.09
2021-10-02 00:00:00,13388420,BTCUSDT,720,720,1633132800,1633132800,13689.434,48092.5,48170.0,47439.0,47670.0,652575318.78
2021-10-02 12:00:00,13423325,BTCUSDT,720,720,1633176000,1633176000,15493.378,47670.0,48315.0,47536.5,47650.0,738259461.7
2021-10-03 00:00:00,13458265,BTCUSDT,720,720,1633219200,1633219200,13582.108,47650.0,48055.0,47098.0,47959.5,651391108.626
2021-10-03 12:00:00,13493164,BTCUSDT,720,720,1633262400,1633262400,22681.995,47959.5,49357.0,47635.5,48175.5,1092716450.1225
2021-10-04 00:00:00,13528105,BTCUSDT,720,720,1633305600,1633305600,17731.479,48175.5,48336.0,47250.0,47571.5,843513053.2485
2021-10-04 12:00:00,13563009,BTCUSDT,720,720,1633348800,1633348800,38751.625,47571.5,49500.0,46902.5,49176.5,1905669286.8125
2021-10-05 00:00:00,13597896,BTCUSDT,720,720,1633392000,1633392000,21021.915,49176.5,50350.0,48988.5,49847.0,1047879397.005
2021-10-05 12:00:00,13632818,BTCUSDT,720,720,1633435200,1633435200,28598.424,49847.0,51908.0,49607.0,51470.5,1471975182.492
2021-10-06 00:00:00,13667730,BTCUSDT,720,720,1633478400,1633478400,25413.484,51470.5,51800.0,50339.5,51300.0,1303711729.2
2021-10-06 12:00:00,13702656,BTCUSDT,720,720,1633521600,1633521600,47033.135,51300.0,56413.0,51261.0,55337.5,2602696108.0625
2021-10-07 00:00:00,13737573,BTCUSDT,720,720,1633564800,1633564800,20832.957,55337.5,55338.0,53900.0,54353.5,1132344128.2995
2021-10-07 12:00:00,13772470,BTCUSDT,720,720,1633608000,1633608000,21553.022,54353.5,54747.0,53357.0,53818.0,1159940537.996
2021-10-08 00:00:00,13807368,BTCUSDT,720,720,1633651200,1633651200,22160.612,53818.0,56250.0,53630.0,55302.5,1225537245.13
2021-10-08 12:00:00,13842280,BTCUSDT,720,720,1633694400,1633694400,19247.933,55302.5,55354.0,53803.0,53964.0,1038695456.412
2021-10-09 00:00:00,13877207,BTCUSDT,720,720,1633737600,1633737600,16165.886,53964.0,55390.0,53717.0,54831.0,886391695.266
2021-10-09 12:00:00,13912116,BTCUSDT,720,720,1633780800,1633780800,12575.78,54831.0,55550.0,54361.0,54968.0,691265475.04
2021-10-10 00:00:00,13947028,BTCUSDT,720,720,1633824000,1633824000,20747.031,54968.0,56145.0,54135.0,55200.0,1145236111.2
2021-10-10 12:00:00,13981932,BTCUSDT,720,720,1633867200,1633867200,20270.272,55200.0,56666.0,54350.0,54724.5,1109280500.064
2021-10-11 00:00:00,14016894,BTCUSDT,720,720,1633910400,1633910400,24181.722,54724.5,57100.0,54496.0,56433.5,1363161109.2085
2021-10-11 12:00:00,14056095,BTCUSDT,720,720,1633953600,1633953600,21974.135,56433.5,57881.0,56190.0,57487.5,1257524200.29
2021-10-12 00:00:00,14098258,BTCUSDT,720,720,1633996800,1633996800,21517.074,57487.5,57833.5,56460.5,57244.0,1228308242.0455
